"country","controlofcorruption","governmenteffectiveness","politicalstability","regulatoryquality","ruleoflaw","voiceandaccountability"
"Togo",-0.749716759,-0.917334676,-0.80539304,-0.678981721,-0.588796675,-0.720927715
"Tonga",-0.345680237,0.162724331,1.120510936,-0.326639235,0.458669186,0.555959463
"Trinidad and Tobago",-0.19135575,0.100151464,0.055240151,-0.150986001,-0.120265909,0.624919057
"Tunisia",-0.07705047,-0.102273889,-0.83253634,-0.437205225,0.062218688,0.281405658
"Turkey",-0.290970057,0.04838597,-1.342829227,-0.007316893,-0.282963246,-0.814702988
"Turkmenistan",-1.511905432,-1.156239748,-0.093640983,-1.957602024,-1.414784551,-2.131469011
"Tuvalu",0.409078538,-0.646632135,1.204566836,-0.555474102,0.481289327,1.122498512
"Uganda",-1.165625691,-0.585200131,-0.645788431,-0.374224395,-0.314611226,-0.623839617
"Ukraine",-0.70959717,-0.29658252,-1.523869634,-0.258670092,-0.698351443,0.055237796
"United Arab Emirates",1.106342077,1.377220869,0.70349431,0.979325235,0.840218842,-1.122035861
"United Kingdom",1.774812341,1.435908556,0.519188583,1.625852942,1.600910664,1.263674736
"United States",1.215326071,1.489181519,0.297985822,1.345358491,1.461093664,0.965248048
"Uruguay",1.246510863,0.695738792,1.045502782,0.509408414,0.621263146,1.256940126
"Uzbekistan",-1.053790808,-0.514649034,-0.2724334,-0.993292511,-1.048181653,-1.605510831
"Vanuatu",-0.258875042,-0.546475112,1.026294947,-0.460043579,0.177853316,0.663360596
"Venezuela, RB",-1.509840012,-1.658306956,-1.445484877,-2.359115839,-2.320053577,-1.409430861
"Vietnam",-0.513841093,0.039076801,0.131874919,-0.262348294,-0.016898753,-1.380526066
"West Bank and Gaza",-0.259574115,-0.744084597,-1.942077518,0.033815555,-0.4854801,-1.008188486
"Yemen, Rep.",-1.681460857,-2.279421568,-2.768294334,-1.66392982,-1.773346424,-1.766006708
"Zambia",-0.640345097,-0.675214529,-0.102216244,-0.554269135,-0.462069273,-0.286198795
"Zimbabwe",-1.238795519,-1.205337167,-0.920178533,-1.463199496,-1.25700891,-1.14187479
